################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.4956392639936481E-03   7.7786750067187729E-02   3.2417855383881922E-02   7.3802509752735187E-03
         1          2   1.1624514625198140E-01   1.9764429474576878E-01   1.5578974978778581E-01   9.0233834317970871E-03
         1          3   0.0000000000000000E+00   5.0033509259777217E-03   1.7137187109365035E-05   8.9157095996183659E-05
         1          4   3.9814813512687203E-02   4.1524838079973808E-01   1.9610047334935959E-01   3.6909430491527694E-02
         1          5   2.9333132844522009E-01   5.3191289318324098E-01   3.7035324096100958E-01   3.6720753640684403E-02
         1          6   0.0000000000000000E+00   5.6173252436262644E-02   4.3365207947032428E-04   1.4647534007540810E-03
         1          7   1.9719708742633321E-01   1.2054354708864115E+00   5.7080086983169620E-01   1.2980333291236359E-01
         1          8   2.3164721437492003E-01   6.4327718344714713E-01   4.2590249295115035E-01   7.5433562150137634E-02
         1          9   0.0000000000000000E+00   2.3789596513960043E-01   4.6650630840063077E-03   1.1039095215982928E-02
         1         10   1.6526874821101384E-01   2.1586080935026444E+00   9.6750497270304514E-01   2.3732155064664359E-01
         1         11   6.6458584483237604E-02   8.0106415973468714E-01   4.0987474542136676E-01   9.3755475265613925E-02
         1         12   0.0000000000000000E+00   3.8611989848906014E-01   2.1531707264921169E-02   3.9092061489467408E-02
         1         13   6.2960277220304214E-02   2.0354199227234817E+00   1.1256699914881545E+00   2.6886916085170010E-01
         1         14   1.8256681729901615E-02   1.0747185785972979E+00   5.1961882861108144E-01   1.4526726566930201E-01
         1         15   0.0000000000000000E+00   4.3711029464601164E-01   4.3886342938273280E-02   6.5475487251170292E-02
         1         16   8.6397012638728843E-02   1.7239048170938871E+00   1.0305672125408147E+00   2.4054293681335437E-01
         1         17   4.4745402435245239E-02   9.9492538458829849E-01   5.7102401334375164E-01   1.3763088024516368E-01
         1         18   0.0000000000000000E+00   3.4123333949936824E-01   4.3186491301675616E-02   5.4259040731031369E-02
         1         19   5.2622436690553838E-02   1.2101457717246766E+00   7.5934284002187713E-01   1.7241433733724301E-01
         1         20   3.2521724873779176E-02   6.9935452555802147E-01   4.1367050024845226E-01   9.9273771070226349E-02
         1         21   0.0000000000000000E+00   1.8456080532583810E-01   2.5993188369658891E-02   2.7873813885012574E-02
         1         22   2.9393526319399933E-02   6.7239391153862349E-01   4.1369715237168025E-01   9.4834974921681373E-02
         1         23   8.5062980661178723E-03   3.7802692861718401E-01   2.1102614387880420E-01   5.2783615064047579E-02
         1         24   0.0000000000000000E+00   8.7882579984886716E-02   1.3163676348172008E-02   1.3452160951709808E-02
         1         25   1.7435826189379722E-02   2.5346311291732326E-01   1.5730615537678572E-01   3.6934999587152545E-02
         1         26   3.4370067525928095E-03   1.4922111579526876E-01   7.9543664671528777E-02   2.0361783720092674E-02
