################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.9273097084931086E-02 a         1     0     1     1     1
 -4.2569456123722155E-01 a         2     0     1     1     2
  2.0595502500608645E-01 a         3     0     1     1     3
 -3.2719148260855474E-01 a         4     0     1     1     4
 -6.9889303178099771E-02 a         5     0     1     1     5
 -2.9144071369985436E-01 a         6     0     1     1     6
 -6.6122429620856266E-02 a         7     0     1     1     7
  1.6602956142809849E-01 a         8     0     1     1     8
 -3.0407133583908658E-01 a         9     0     1     1     9
  2.2680682948428327E-01 a        10     0     1     1    10
 -2.0863690771084389E-01 a        11     0     1     1    11
 -2.1585429590304514E-01 a        12     0     1     1    12
 -1.7287209407577400E-01 a        13     0     1     1    13
 -2.3485654242806847E-01 a        14     0     1     1    14
 -9.9186191966975215E-02 a        15     0     1     1    15
 -1.8906413352988388E-01 a        16     0     1     1    16
 -9.9999072789317842E-02 a        17     0     1     1    17
  2.1846036408066305E-01 a        18     0     1     1    18
 -2.9243315265495884E-01 a        19     0     1     1    19
 -1.1902575632266609E-02 a        20     0     1     1    20
 -1.9685687736092258E-01 a        21     0     2     1     1
  2.5754678540233966E-01 a        22     0     2     1     2
  1.2689990893767236E-02 a        23     0     2     1     3
 -2.4893987049563783E-02 a        24     0     2     1     4
 -5.8433752920241042E-02 a        25     0     2     1     5
  1.0481126390757359E-01 a        26     0     2     1     6
  8.9154410620447849E-02 a        27     0     2     1     7
  1.0652536827992407E-01 a        28     0     2     1     8
 -2.9414130116541114E-02 a        29     0     2     1     9
  1.1975109333663081E-01 a        30     0     2     1    10
  1.1642835530334920E-01 a        31     0     2     1    11
  5.9821049358762139E-02 a        32     0     2     1    12
  1.2752528145480355E-01 a        33     0     2     1    13
  2.7626515111773141E-03 a        34     0     2     1    14
 -3.8370748264664842E-02 a        35     0     2     1    15
  2.9870296475316871E-01 a        36     0     2     1    16
 -1.3561413348459705E-01 a        37     0     2     1    17
 -2.6430708743463560E-01 a        38     0     2     1    18
 -2.0132795062173359E-02 a        39     0     2     1    19
  1.2632356067571213E-01 a        40     0     2     1    20
 -7.2182845319934033E-02 a        41     0     3     1     1
 -3.0498403231478233E-02 a        42     0     3     1     2
 -6.7475981432332341E-02 a        43     0     3     1     3
  1.3899347760939185E-01 a        44     0     3     1     4
  5.2538235076074948E-02 a        45     0     3     1     5
 -3.2493226496021758E-02 a        46     0     3     1     6
 -9.6343632084035624E-02 a        47     0     3     1     7
  2.3144103128993876E-01 a        48     0     3     1     8
 -1.8658832944991310E-01 a        49     0     3     1     9
  1.1331583665434805E-01 a        50     0     3     1    10
 -1.5442705567070572E-02 a        51     0     3     1    11
  1.5944394625190991E-01 a        52     0     3     1    12
  1.7011477067109482E-02 a        53     0     3     1    13
 -1.0119750943265034E-01 a        54     0     3     1    14
 -9.7051114168206359E-02 a        55     0     3     1    15
  2.4284827774924486E-01 a        56     0     3     1    16
