rank,epoch,train_step,traj,frame,frame_index,force_mae,force_rmse,energy_abs_error,epistemic_mean,epistemic_p95,epistemic_max,aleatoric_mean,aleatoric_p95,aleatoric_max
1,99,900,a,27936,13968,0.005663491785526276,0.007771271280944347,0.00732421875,0.0017594870878383517,0.0026556660886853933,0.003975837957113981,0.0035058525390923023,0.004861953668296337,0.00676448130980134
2,99,900,a,27536,13768,0.00578484870493412,0.007938493974506855,0.006103515625,0.0017623865278437734,0.0026503580156713724,0.004010424483567476,0.00350581225939095,0.004853168968111277,0.006646989844739437
3,99,900,a,27376,13688,0.005755692720413208,0.007530646398663521,0.029296875,0.00175851013045758,0.0026433884631842375,0.004036225378513336,0.0034990340936928988,0.004831148777157068,0.006526653189212084
4,99,900,a,27912,13956,0.0056815254501998425,0.007634797599166632,0.01611328125,0.0017553003272041678,0.0026266013737767935,0.0037363157607614994,0.0034982762299478054,0.004796268418431282,0.006383691914379597
5,99,900,a,27528,13764,0.005801382940262556,0.007697533816099167,0.014892578125,0.0017598666017875075,0.002624232554808259,0.0038630617782473564,0.0034997761249542236,0.004778088536113501,0.006600957363843918
6,99,900,a,27368,13684,0.00564526068046689,0.007357481401413679,0.021728515625,0.00174693763256073,0.0026197407860308886,0.0034500265028327703,0.0034822283778339624,0.0047840336337685585,0.006216057576239109
7,99,900,a,27568,13784,0.005842249840497971,0.007684987038373947,0.0068359375,0.0017649505753070116,0.0026179642882198095,0.003875585738569498,0.003513038158416748,0.004760062322020531,0.007015681825578213
8,99,900,a,26928,13464,0.00579518498852849,0.007729404605925083,0.0009765625,0.0017247982323169708,0.0026144732255488634,0.003672059392556548,0.003447361756116152,0.004759660456329584,0.006245975848287344
9,99,900,b,26118,29274,0.005694572348147631,0.007449061144143343,0.003662109375,0.0017499307869002223,0.002613181946799159,0.0034907073713839054,0.003486940637230873,0.00477805407717824,0.006000836845487356
10,99,900,a,26992,13496,0.005476369522511959,0.00726288603618741,0.010986328125,0.0017457472858950496,0.002603000495582819,0.0036188149824738503,0.0034805331379175186,0.00475155608728528,0.0062686786986887455
11,99,900,a,29152,14576,0.005716661922633648,0.007529331371188164,0.0205078125,0.0017418537754565477,0.0026026738341897726,0.003619779832661152,0.003477014135569334,0.004750893451273441,0.0062258606776595116
12,99,900,b,26086,29258,0.006045132875442505,0.008010217919945717,0.004150390625,0.0017433192115277052,0.00259788753464818,0.0037878542207181454,0.0034795340616256,0.004725204315036535,0.006418175995349884
13,99,900,b,27886,30158,0.0053517757914960384,0.00711019104346633,0.00439453125,0.0017372274305671453,0.0025977599434554577,0.0034577790647745132,0.003465251298621297,0.004741273354738951,0.006168801337480545
14,99,900,a,27360,13680,0.005614770110696554,0.007551999296993017,0.01171875,0.0017341029597446322,0.002597633982077241,0.003965345676988363,0.003462956752628088,0.004737786948680878,0.006750942673534155
15,99,900,a,27504,13752,0.005892019718885422,0.00798750203102827,0.014404296875,0.0017489625606685877,0.0025975704193115234,0.003601940581575036,0.003485675435513258,0.004700905177742243,0.006532915402203798
16,99,900,a,27032,13516,0.0056635551154613495,0.0075349281542003155,0.008544921875,0.0017417448107153177,0.002596733160316944,0.003762811189517379,0.003470839699730277,0.0047705331817269325,0.0063311150297522545
17,99,900,b,27862,30146,0.0053370376117527485,0.0070683942176401615,0.001953125,0.0017259967280551791,0.002596355974674225,0.003494883421808481,0.003446839051321149,0.004715737886726856,0.0060136448591947556
18,99,900,a,27560,13780,0.005918492563068867,0.00781957060098648,0.001953125,0.0017448075814172626,0.002594568068161607,0.003347015706822276,0.003482451196759939,0.004758752416819334,0.005995693616569042
